ID,Orig_ON,Orig_FROM,Orig_TO,On,From,To
66,S. Albany Ave. (3100W),W. Dead End (508S),W. Fillmore St. (1100S),ALBANY AVE,VAN BUREN ST,FILLMORE ST
67,W. Arthington St. (900S),S. Homan Ave. (3400W),S. Albany Ave. (3100W),ARTHINGTON ST,HOMAN AVE,ALBANY AVE
68,S. St. Louis Ave. (3500W),W. Madison St. (0N),W. Fifth Ave. (332S),ST LOUIS AVE,MADISON ST,FIFTH AVE
69,N. Parkside Ave. (5632W),W. Chicago Ave. (800N),W. Kinzie St. (400N),PARKSIDE AVE,CHICAGO AVE,KINZIE ST
70,S. St. Lawrence Ave. (600E),E. 130th St. (13000S),E. 134th Pl. (13432S),ST LAWRENCE AVE,130TH ST,134TH PL
71,E. 134th St. (13400S),S. Indiana Ave. (200E),S. Vernon Ave. (440E),134TH ST,INDIANA AVE,VERNON AVE
72,"W. 13th St, (1300S)",S. Kostner Ave. (4400W),S. Central Park Ave. (3600W),13TH ST,KOSTNER AVE,CENTRAL PARK AVE
73,W. Fulton St. (300N),N. Austin Ave. (6000W),N. Cicero Ave. (4800W),FULTON ST,AUSTIN AVE,CICERO AVE
74,S. Lockwood Ave. (5300W),W. Washington Blvd. (100N),W. Flournoy St. (700S),LOCKWOOD AVE,WASHINGTON BLVD,FLOURNOY ST
75,W. 48th St. (4800S),S. Laramie Ave. (5200W),S. Lamon Ave. (4900W),48TH ST,LARAMIE AVE,LAMON AVE
76,W. 18th St. (1800S),S. Pulaski Rd. (4000W),S. Dead End (3652W),18TH ST,PULASKI RD,MILLARD AVE
77,W. 19th St. (1900S),S. Keeler Ave. (4200W),S. Dead End (3652W),19TH ST,KEELER AVE,MILLARD AVE
78,W. 21st St. (2100S),S. Union Ave. (700W),S. Des Plaines St. (600W),21ST ST,UNION AVE,DESPLAINES ST
79,S. Greenwood Ave. (1100W),W. Ellis Ave. (954E),W. 133rd St. (13300S),GREENWOOD AVE,ELLIS AVE,133RD ST
80,W. 48th St. (4800S),S. Kilbourn Ave. (4500W),S. Pulaski Rd. (4000W),48TH ST,KILBOURN AVE,PULASKI RD
